Timestamp, AvailableBikes, AvailableDocks
1370056949, 15, 28
1370056973, 15, 28
1370057402, 15, 28
1370057462, 15, 28
1370057522, 15, 28
1370057581, 15, 28
1370057641, 15, 28
1370057702, 15, 28
1370057762, 15, 28
1370057822, 15, 28
1370057881, 15, 28
1370057941, 15, 28
1370058001, 14, 29
1370058062, 14, 29
1370058121, 14, 29
1370058182, 14, 29
1370058242, 14, 29
1370058307, 14, 29
1370058363, 14, 29
1370058429, 14, 29
1370058481, 14, 29
1370058545, 14, 29
1370058602, 14, 29
1370058661, 14, 29
1370058722, 14, 29
1370058784, 14, 29
1370058841, 14, 29
1370058907, 14, 29
1370058962, 14, 29
1370059021, 14, 29
1370059089, 14, 29
1370059142, 14, 29
1370059202, 14, 29
1370059262, 14, 29
1370059321, 14, 29
1370059382, 14, 29
1370059442, 14, 29
1370059502, 14, 29
