date,availableBikes,availableDocks
1370056949,1,35
1370056973,1,35
1370057402,1,35
1370057462,1,35
1370057522,1,35
1370057581,1,35
1370057641,1,35
1370057702,1,35
1370057762,1,35
1370057822,1,35
1370057881,1,35
1370057941,1,35
1370058001,1,35
1370058062,1,35
1370058121,1,35
1370058182,1,35
1370058242,1,35
1370058307,1,35
1370058363,1,35
1370058429,1,35
1370058481,1,35
1370058545,1,35
1370058602,1,35
1370058661,1,35
1370058722,1,35
1370058784,1,35
1370058841,1,35
1370058907,1,35
1370058962,1,35
1370059021,1,35
1370059089,1,35
1370059142,1,35
1370059202,1,35
1370059262,1,35
1370059321,1,35
1370059382,1,35
1370059442,1,35
1370059502,1,35
1370059561,1,35
1370059622,1,35
1370059681,1,35
1370059742,1,35
1370059802,1,35
1370059861,1,35
1370059922,1,35
1370059981,1,35
1370060041,1,35
1370060102,1,35
1370060161,1,35
1370060224,1,35
1370060281,1,35
1370060341,1,35
1370060401,1,35
1370060464,1,35
1370060522,1,35
1370060585,1,35
1370060641,1,35
1370060702,1,35
1370060762,1,35
1370060822,1,35
1370060881,1,35
1370060942,1,35
1370061002,1,35
1370061061,1,35
1370061121,1,35
1370061181,1,35
1370061241,1,35
1370061302,1,35
1370061364,1,35
1370061421,1,35
1370061482,1,35
1370061542,1,35
1370061602,1,35
1370061661,1,35
1370061722,1,35
1370061782,1,35
1370061844,1,35
