Timestamp, AvailableBikes, AvailableDocks
1370056949, 7, 22
1370056973, 7, 22
1370057402, 7, 22
1370057462, 7, 22
1370057522, 7, 22
1370057581, 7, 22
1370057641, 7, 22
1370057702, 7, 22
1370057762, 7, 22
1370057822, 7, 22
1370057881, 7, 22
1370057941, 7, 22
1370058001, 7, 22
1370058062, 7, 22
1370058121, 7, 22
1370058182, 7, 22
1370058242, 7, 22
1370058307, 7, 22
1370058363, 7, 22
1370058429, 7, 22
1370058481, 7, 22
1370058545, 7, 22
1370058602, 7, 22
1370058661, 7, 22
1370058722, 7, 22
1370058784, 7, 22
1370058841, 7, 22
1370058907, 7, 22
1370058962, 7, 22
1370059021, 7, 22
1370059089, 7, 22
1370059142, 7, 22
1370059202, 7, 22
1370059262, 7, 22
1370059321, 7, 22
1370059382, 7, 22
1370059442, 7, 22
1370059502, 7, 22
