Timestamp, AvailableBikes, AvailableDocks
1370056949, 22, 11
1370056973, 22, 11
1370057402, 22, 11
1370057462, 22, 11
1370057522, 22, 11
1370057581, 22, 11
1370057641, 22, 11
1370057702, 22, 11
1370057762, 22, 11
1370057822, 22, 11
1370057881, 22, 11
1370057941, 22, 11
1370058001, 22, 11
1370058062, 22, 11
1370058121, 22, 11
1370058182, 22, 11
1370058242, 22, 11
1370058307, 22, 11
1370058363, 23, 10
1370058429, 23, 10
1370058481, 23, 10
1370058545, 23, 10
1370058602, 23, 10
1370058661, 23, 10
1370058722, 23, 10
1370058784, 23, 10
1370058841, 23, 10
1370058907, 23, 10
1370058962, 23, 10
1370059021, 23, 10
1370059089, 23, 10
1370059142, 23, 10
1370059202, 23, 10
1370059262, 23, 10
1370059321, 23, 10
1370059382, 23, 10
1370059442, 23, 10
1370059502, 23, 10
