Timestamp, AvailableBikes, AvailableDocks
1370056949, 17, 17
1370056973, 17, 17
1370057402, 17, 17
1370057462, 17, 17
1370057522, 17, 17
1370057581, 17, 17
1370057641, 17, 17
1370057702, 17, 17
1370057762, 17, 17
1370057822, 17, 17
1370057881, 17, 17
1370057941, 17, 17
1370058001, 17, 17
1370058062, 17, 17
1370058121, 17, 17
1370058182, 17, 17
1370058242, 17, 17
1370058307, 17, 17
1370058363, 17, 17
1370058429, 17, 17
1370058481, 17, 17
1370058545, 17, 17
1370058602, 17, 17
1370058661, 17, 17
1370058722, 17, 17
1370058784, 17, 17
1370058841, 17, 17
1370058907, 17, 17
1370058962, 17, 17
1370059021, 17, 17
1370059089, 17, 17
1370059142, 17, 17
1370059202, 17, 17
1370059262, 17, 17
1370059321, 17, 17
1370059382, 17, 17
1370059442, 17, 17
1370059502, 17, 17
