date,availableBikes,availableDocks
1370056949,22,34
1370056973,22,34
1370057402,22,34
1370057462,22,34
1370057522,22,34
1370057581,22,34
1370057641,22,34
1370057702,22,34
1370057762,22,34
1370057822,22,34
1370057881,22,34
1370057941,22,34
1370058001,22,34
1370058062,22,34
1370058121,22,34
1370058182,22,34
1370058242,22,34
1370058307,22,34
1370058363,22,34
1370058429,22,34
1370058481,22,34
1370058545,22,34
1370058602,22,34
1370058661,22,34
1370058722,22,34
1370058784,22,34
1370058841,22,34
1370058907,22,34
1370058962,23,33
1370059021,23,33
1370059089,23,33
1370059142,23,33
1370059202,23,33
1370059262,23,33
1370059321,23,33
1370059382,23,33
1370059442,23,33
1370059502,23,33
1370059561,23,33
1370059622,23,33
1370059681,23,33
1370059742,23,33
1370059802,23,33
1370059861,23,33
1370059922,23,33
1370059981,23,33
1370060041,23,33
1370060102,23,33
1370060161,23,33
1370060224,23,33
1370060281,23,33
1370060341,23,33
1370060401,23,33
1370060464,23,33
1370060522,23,33
1370060585,23,33
1370060641,23,33
1370060702,23,33
1370060762,23,33
1370060822,23,33
1370060881,23,33
1370060942,23,33
1370061002,23,33
1370061061,23,33
1370061121,23,33
1370061181,23,33
1370061241,23,33
1370061302,23,33
1370061364,23,33
1370061421,23,33
1370061482,23,33
1370061542,23,33
1370061602,23,33
1370061661,23,33
1370061722,23,33
1370061782,23,33
1370061844,23,33
