date,availableBikes,availableDocks
1370056949,29,6
1370056973,29,6
1370057402,27,8
1370057462,27,8
1370057522,27,8
1370057581,27,8
1370057641,27,8
1370057702,27,8
1370057762,27,8
1370057822,27,8
1370057881,27,8
1370057941,27,8
1370058001,27,8
1370058062,27,8
1370058121,27,8
1370058182,27,8
1370058242,27,8
1370058307,27,8
1370058363,27,8
1370058429,27,8
1370058481,27,8
1370058545,27,8
1370058602,27,8
1370058661,27,8
1370058722,27,8
1370058784,27,8
1370058841,27,8
1370058907,27,8
1370058962,27,8
1370059021,27,8
1370059089,27,8
1370059142,27,8
1370059202,27,8
1370059262,27,8
1370059321,27,8
1370059382,27,8
1370059442,27,8
1370059502,27,8
1370059561,27,8
1370059622,27,8
1370059681,27,8
1370059742,27,8
1370059802,27,8
1370059861,27,8
1370059922,27,8
1370059981,27,8
1370060041,27,8
1370060102,27,8
1370060161,27,8
1370060224,27,8
1370060281,27,8
1370060341,27,8
1370060401,27,8
1370060464,27,8
1370060522,27,8
1370060585,27,8
1370060641,27,8
1370060702,27,8
1370060762,27,8
1370060822,27,8
1370060881,27,8
1370060942,27,8
1370061002,27,8
1370061061,27,8
1370061121,27,8
1370061181,27,8
1370061241,27,8
1370061302,27,8
1370061364,27,8
1370061421,27,8
1370061482,27,8
1370061542,27,8
1370061602,27,8
1370061661,27,8
1370061722,27,8
1370061782,27,8
1370061844,27,8
