Timestamp, AvailableBikes, AvailableDocks
1370056949, 13, 1
1370056973, 13, 1
1370057402, 13, 1
1370057462, 13, 1
1370057522, 13, 1
1370057581, 13, 1
1370057641, 13, 1
1370057702, 13, 1
1370057762, 13, 1
1370057822, 13, 1
1370057881, 13, 1
1370057941, 13, 1
1370058001, 13, 1
1370058062, 13, 1
1370058121, 13, 1
1370058182, 13, 1
1370058242, 13, 1
1370058307, 13, 1
1370058363, 13, 1
1370058429, 13, 1
1370058481, 13, 1
1370058545, 13, 1
1370058602, 13, 1
1370058661, 13, 1
1370058722, 13, 1
1370058784, 13, 1
1370058841, 13, 1
1370058907, 13, 1
1370058962, 13, 1
1370059021, 13, 1
1370059089, 13, 1
1370059142, 13, 1
1370059202, 13, 1
1370059262, 13, 1
1370059321, 13, 1
1370059382, 13, 1
1370059442, 13, 1
1370059502, 13, 1
